Origin,Destination,Travel_Time,Travel_Minutes,Status,Timestamp
"3081HS, Rotterdam",Rijssen-Holten,2h 42m,162,ok,2026-07-26T01:55:30.913546
"3081HS, Rotterdam",Oost Gelre,3h 9m,189,ok,2026-07-26T01:55:48.119235
"3081HS, Rotterdam",Oude IJsselstreek,3h 37m,217,ok,2026-07-26T01:56:05.654814
"3081HS, Rotterdam",Alphen-Chaam,1h 56m,116,ok,2026-07-26T01:56:22.932198
"3081HS, Rotterdam",Bernheze,2h 2m,122,ok,2026-07-26T01:56:40.030417
"3081HS, Rotterdam",Boekel,2h 8m,128,ok,2026-07-26T01:56:57.040627
"3081HS, Rotterdam",Boxmeer,2h 44m,164,ok,2026-07-26T01:57:14.083661
"3081HS, Rotterdam",Grave,2h 33m,153,ok,2026-07-26T01:57:31.043211
"3081HS, Rotterdam",Mill en Sint Hubert,3h 5m,185,ok,2026-07-26T01:57:48.662542
"3081HS, Rotterdam",Sint Anthonis,2h 35m,155,ok,2026-07-26T01:58:05.960278
"3081HS, Rotterdam",Dongeradeel,4h 24m,264,ok,2026-07-26T01:58:23.206704
"3081HS, Rotterdam",Kollum,3h 56m,236,ok,2026-07-26T01:58:57.536746
"3081HS, Rotterdam",Achtkarspelen,2h 35m,155,ok,2026-07-26T01:59:14.874903
"3081HS, Rotterdam",Tietjerksteradeel,1h 18m,78,ok,2026-07-26T01:59:32.357986
"3081HS, Rotterdam",Opsterland,1h 29m,89,ok,2026-07-26T01:59:49.566973
"3081HS, Rotterdam",Weststellingwerf,"3h
",180,ok,2026-07-26T02:00:07.083802
"3081HS, Rotterdam",Ooststellingwerf,3h 41m,221,ok,2026-07-26T02:00:24.522942
"3081HS, Rotterdam",De Wolden,3h 25m,205,ok,2026-07-26T02:00:41.666460
"3081HS, Rotterdam",Borger-Odoorn,3h 28m,208,ok,2026-07-26T02:00:58.976955
"3081HS, Rotterdam",Aa en Hunze,3h 37m,217,ok,2026-07-26T02:01:16.237504
"3081HS, Rotterdam",Noordenveld,3h 15m,195,ok,2026-07-26T02:01:33.506625
"3081HS, Rotterdam",Zutphen,2h 19m,139,ok,2026-07-26T02:07:36.774465
"3081HS, Rotterdam",Bolsward,3h 48m,228,ok,2026-07-26T02:07:53.850959
"3081HS, Rotterdam",Stein,34m,34,ok,2026-07-26T02:08:10.834598
"3081HS, Rotterdam",Oudewater,1h 30m,90,ok,2026-07-26T02:08:27.948994
"3081HS, Rotterdam",Vaals,3h 48m,228,ok,2026-07-26T02:08:44.878810
"3081HS, Rotterdam",Hattem,2h 33m,153,ok,2026-07-26T02:09:01.845985
"3081HS, Rotterdam",Sluis,No Results,,timeout,2026-07-26T02:09:18.797449
"3081HS, Rotterdam",Raalte,2h 30m,150,ok,2026-07-26T02:09:35.801517
"3081HS, Rotterdam",Voorschoten,1h 12m,72,ok,2026-07-26T02:09:53.007935
"3081HS, Rotterdam",Bunnik,1h 28m,88,ok,2026-07-26T02:10:10.000005
"3081HS, Rotterdam",Overbetuwe,2h 26m,146,ok,2026-07-26T02:10:27.179809
"3081HS, Rotterdam",Naarden,1h 38m,98,ok,2026-07-26T02:10:44.224845
"3081HS, Rotterdam",Olst-Wijhe,2h 30m,150,ok,2026-07-26T02:11:01.437142
"3081HS, Rotterdam",Woudenberg,1h 15m,75,ok,2026-07-26T02:11:18.629782
"3081HS, Rotterdam",Voorst,2h 6m,126,ok,2026-07-26T02:11:35.637981
"3081HS, Rotterdam",Someren,2h 28m,148,ok,2026-07-26T02:11:52.682050
"3081HS, Rotterdam",Brielle,1h 12m,72,ok,2026-07-26T02:12:09.693428
"3081HS, Rotterdam",Oegstgeest,1h 28m,88,ok,2026-07-26T02:12:26.850602
"3081HS, Rotterdam",Montferland,2h 10m,130,ok,2026-07-26T02:12:44.084766
"3081HS, Rotterdam",Hillegom,1h 23m,83,ok,2026-07-26T02:13:01.133271
"3081HS, Rotterdam",Bemmel,2h 31m,151,ok,2026-07-26T02:13:18.115602
"3081HS, Rotterdam",Kapelle,1h 36m,96,ok,2026-07-26T02:13:35.168538
"3081HS, Rotterdam",Neder-Betuwe,2h 32m,152,ok,2026-07-26T02:13:52.449655
"3081HS, Rotterdam",Laarbeek,2h 11m,131,ok,2026-07-26T02:14:09.557406
"3081HS, Rotterdam",Rucphen,1h 41m,101,ok,2026-07-26T02:14:26.614061
"3081HS, Rotterdam",Reimerswaal,1h 29m,89,ok,2026-07-26T02:14:43.833849
"3081HS, Rotterdam",Tynaarlo,4h 8m,248,ok,2026-07-26T02:15:00.934430
"3081HS, Rotterdam",Stichtse Vecht,1h 40m,100,ok,2026-07-26T02:15:18.320264
"3081HS, Rotterdam",Ferwerderadiel,No Results,,timeout,2026-07-26T02:15:35.622722
