Origin,Destination,Travel_Time,Travel_Minutes,Status,Timestamp
"3081HS, Rotterdam",Berkelland,3h 11m,191,ok,2026-07-26T00:42:53.866599
"3081HS, Rotterdam",Groningen,3h 7m,187,ok,2026-07-26T00:43:10.994053
"3081HS, Rotterdam",Hengelo,2h 46m,166,ok,2026-07-26T00:43:28.074417
"3081HS, Rotterdam",Arnhem,1h 49m,109,ok,2026-07-26T00:43:45.084311
"3081HS, Rotterdam",Helmond,1h 45m,105,ok,2026-07-26T00:44:02.133567
"3081HS, Rotterdam",Winterswijk,3h 5m,185,ok,2026-07-26T00:44:19.326956
"3081HS, Rotterdam",Heusden,2h 19m,139,ok,2026-07-26T00:44:36.363440
"3081HS, Rotterdam",Krimpen aan den IJssel,56m,56,ok,2026-07-26T00:44:54.085310
"3081HS, Rotterdam",Schagen,2h 17m,137,ok,2026-07-26T00:45:11.140796
"3081HS, Rotterdam",Woerden,1h 7m,67,ok,2026-07-26T00:45:28.189500
"3081HS, Rotterdam",Gouda,48m,48,ok,2026-07-26T00:45:45.147298
"3081HS, Rotterdam",Ede,1h 43m,103,ok,2026-07-26T00:46:02.019293
"3081HS, Rotterdam",Venlo,2h 15m,135,ok,2026-07-26T00:46:18.969338
"3081HS, Rotterdam",Kampen,2h 23m,143,ok,2026-07-26T00:46:35.978273
"3081HS, Rotterdam",Almere,1h 30m,90,ok,2026-07-26T00:46:52.981786
"3081HS, Rotterdam",Steenbergen,2h 45m,165,ok,2026-07-26T00:47:10.195341
"3081HS, Rotterdam",Elburg,1h 49m,109,ok,2026-07-26T00:47:27.170436
"3081HS, Rotterdam",Velsen,1h 52m,112,ok,2026-07-26T00:47:44.174304
"3081HS, Rotterdam",Nederweert,2h 33m,153,ok,2026-07-26T00:48:01.383855
"3081HS, Rotterdam",Vught,1h 39m,99,ok,2026-07-26T00:48:18.375498
"3081HS, Rotterdam",Eindhoven,1h 34m,94,ok,2026-07-26T00:48:35.571073
"3081HS, Rotterdam",Zaanstad,1h 26m,86,ok,2026-07-26T00:48:52.735592
"3081HS, Rotterdam",Delft,44m,44,ok,2026-07-26T00:49:09.714617
"3081HS, Rotterdam",Rijswijk,49m,49,ok,2026-07-26T00:49:26.796330
"3081HS, Rotterdam",Drimmelen,1h 49m,109,ok,2026-07-26T00:49:43.975135
"3081HS, Rotterdam",Veendam,3h 52m,232,ok,2026-07-26T00:50:01.029711
"3081HS, Rotterdam",Brummen,2h 28m,148,ok,2026-07-26T00:50:18.052154
"3081HS, Rotterdam",Montfoort,2h 7m,127,ok,2026-07-26T00:50:35.204112
"3081HS, Rotterdam",Lemmer,3h 15m,195,ok,2026-07-26T00:50:52.217072
"3081HS, Rotterdam",Gilze en Rijen,1h 8m,68,ok,2026-07-26T00:51:09.583025
"3081HS, Rotterdam",Alkmaar,1h 54m,114,ok,2026-07-26T00:51:26.600857
"3081HS, Rotterdam",Waalwijk,2h 3m,123,ok,2026-07-26T00:51:43.710048
"3081HS, Rotterdam",Harderwijk,2h 3m,123,ok,2026-07-26T00:52:00.882081
"3081HS, Rotterdam",Hilversum,1h 27m,87,ok,2026-07-26T00:52:18.025957
"3081HS, Rotterdam",Haren,3h 14m,194,ok,2026-07-26T00:52:34.987359
"3081HS, Rotterdam",Brunssum,3h 26m,206,ok,2026-07-26T00:52:52.088746
"3081HS, Rotterdam",Lelystad,1h 46m,106,ok,2026-07-26T00:53:09.161006
"3081HS, Rotterdam",Harlingen,3h 39m,219,ok,2026-07-26T00:53:26.282652
"3081HS, Rotterdam",Goirle,1h 43m,103,ok,2026-07-26T00:53:43.273644
"3081HS, Rotterdam",Bergeijk,2h 32m,152,ok,2026-07-26T00:54:00.363697
"3081HS, Rotterdam",Breda,52m,52,ok,2026-07-26T00:54:17.307951
"3081HS, Rotterdam",Papendrecht,48m,48,ok,2026-07-26T00:54:34.517005
"3081HS, Rotterdam",Noordwijk,3h 31m,211,ok,2026-07-26T00:54:51.653080
"3081HS, Rotterdam",Uden,2h 20m,140,ok,2026-07-26T00:55:08.549272
"3081HS, Rotterdam",Veenendaal,1h 53m,113,ok,2026-07-26T00:55:25.754956
"3081HS, Rotterdam",Putten,1h 54m,114,ok,2026-07-26T00:55:42.744643
"3081HS, Rotterdam",Zaltbommel,1h 47m,107,ok,2026-07-26T00:55:59.943958
"3081HS, Rotterdam",Stadskanaal,3h 53m,233,ok,2026-07-26T00:56:17.189341
"3081HS, Rotterdam",Zwijndrecht,35m,35,ok,2026-07-26T00:56:34.434893
"3081HS, Rotterdam",Huizen,2h 7m,127,ok,2026-07-26T00:56:51.435606
"3081HS, Rotterdam",Nunspeet,2h 11m,131,ok,2026-07-26T00:57:08.544524
"3081HS, Rotterdam",Buren,1h 58m,118,ok,2026-07-26T00:57:25.507473
"3081HS, Rotterdam",Ommen,2h 31m,151,ok,2026-07-26T00:57:42.470223
"3081HS, Rotterdam",Nieuwkoop,1h 35m,95,ok,2026-07-26T00:57:59.653034
"3081HS, Rotterdam",Aalsmeer,1h 33m,93,ok,2026-07-26T00:58:16.760397
"3081HS, Rotterdam",Tiel,2h 1m,121,ok,2026-07-26T00:58:33.704941
"3081HS, Rotterdam",Oss,1h 41m,101,ok,2026-07-26T00:58:50.598398
"3081HS, Rotterdam",Deurne,1h 53m,113,ok,2026-07-26T00:59:07.569652
"3081HS, Rotterdam",Amsterdam,1h 18m,78,ok,2026-07-26T00:59:39.047823
"3081HS, Rotterdam",Alphen aan den Rijn,1h 15m,75,ok,2026-07-26T00:59:56.674211
